vOTU	species_count	species_list	species_count_robust	species_list_robust	phage_count	spacer_count	host_count	checkv_quality
SAMN05418239_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN37503413_p3	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	High-quality
SAMN40717398_p4	1	Vibrio harveyi	1	Vibrio harveyi	1	6	2	High-quality
SAMN09874178_p3	1	Vibrio parahaemolyticus	0		1	1	1	Medium-quality
SAMN28494995_p2	1	Vibrio harveyi	1	Vibrio harveyi	2	4	2	High-quality
SAMN02712353_p6	1	Vibrio harveyi	1	Vibrio harveyi	4	2	2	Medium-quality
SAMN28495011_p1	1	Vibrio harveyi	1	Vibrio harveyi	7	2	2	Medium-quality
SAMN47931894_p3	1	Vibrio harveyi	1	Vibrio harveyi	3	2	2	High-quality
SAMN40571839_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN40571794_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN40571705_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN39962933_p7	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN32411345_p1	1	Vibrio harveyi	1	Vibrio harveyi	4	2	2	High-quality
SAMN08805478_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN15597503_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	26	13	Medium-quality
SAMN40561775_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	26	13	High-quality
SAMN32406675_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	26	13	Medium-quality
SAMN28495049_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	26	13	High-quality
SAMN02368321_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN07338049_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	26	13	Medium-quality
SAMN06169655_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	26	13	High-quality
SAMN28495039_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	26	13	High-quality
SAMN05418245_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN05418237_p1	1	Vibrio cholerae	1	Vibrio cholerae	3	2	2	High-quality
SAMN12057824_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	41	27	Medium-quality
SAMN07338191_p4	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN05418224_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN05418089_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN05418039_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	Medium-quality
SAMN05417988_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN05172610_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN02470507_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMEA117551943_p1	1	Vibrio cholerae	1	Vibrio cholerae	3	2	2	High-quality
SAMN44771342_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	6	6	Complete
SAMN15646505_p2	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN02470441_p1	1	Vibrio cholerae	1	Vibrio cholerae	5	2	2	High-quality
SAMN41905203_p2	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	Medium-quality
SAMN12057821_p1	1	Vibrio cholerae	1	Vibrio cholerae	4	13	13	Medium-quality
SAMN05860636_p1	1	Vibrio navarrensis	0		9	1	1	High-quality
SAMN02741374_p3	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN02368286_p3	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN01923895_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN44841005_p1	1	Vibrio navarrensis	0		1	1	1	High-quality
SAMEA8103036_p1	1	Vibrio navarrensis	0		2	1	1	High-quality
SAMN40627811_p1	1	Vibrio vulnificus	0		1	1	1	Medium-quality
SAMN03571538_p1	1	Vibrio vulnificus	0		2	1	1	High-quality
SAMN14852540_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	13	13	Medium-quality
SAMN31841003_p3	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN25050340_p2	1	Vibrio harveyi	1	Vibrio harveyi	3	3	3	High-quality
SAMN17214697_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	12	12	Complete
SAMN53906747_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN20982394_p1	1	Vibrio navarrensis	0		2	1	1	Medium-quality
SAMN44286686_p1	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN41920674_p3	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN41920658_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN40717405_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN40584504_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN39962933_p3	1	Vibrio navarrensis	0		1	1	1	High-quality
SAMN33548586_p2	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN32218570_p1	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN12168584_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN20805040_p1	1	Vibrio fluvialis	1	Vibrio fluvialis	1	3	2	Complete
SAMN53840719_p4	1	Vibrio navarrensis	0		1	1	1	Medium-quality
SAMN28767223_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN28495033_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN28494981_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN18298736_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN18298730_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN18298729_p5	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	14	14	Medium-quality
SAMN13023393_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	Medium-quality
SAMN12668396_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN07337994_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN52650543_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN51861946_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	14	14	High-quality
SAMN24593223_p2	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN40584489_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	27	14	High-quality
SAMN40571797_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	Medium-quality
SAMN40560757_p3	1	Vibrio parahaemolyticus	0		1	1	1	High-quality
SAMN07338106_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	3	27	14	Medium-quality
SAMN32407619_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN56681726_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	5	5	Medium-quality
SAMN36689569_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	5	5	Medium-quality
SAMN13704165_p3	1	Vibrio cholerae	1	Vibrio cholerae	8	6	6	Medium-quality
SAMN12639444_p1	1	Vibrio cholerae	1	Vibrio cholerae	5	7	7	Medium-quality
SAMN07350489_p2	1	Vibrio cholerae	1	Vibrio cholerae	2	5	5	Medium-quality
SAMN53258651_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	7	3	Medium-quality
SAMN46862179_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN32407788_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	27	24	9	Medium-quality
SAMN56917198_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	7	9	6	Medium-quality
SAMN53840715_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	13	9	6	Medium-quality
SAMN07337994_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	6	12	9	Medium-quality
SAMN12648303_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	13	21	9	Medium-quality
SAMN42149892_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	20	8	Medium-quality
SAMN29790269_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	5	21	9	Medium-quality
SAMN39716327_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	9	6	Medium-quality
SAMN32400338_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	9	6	Medium-quality
SAMN28767274_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	9	6	Medium-quality
SAMN02741374_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	6	24	9	Medium-quality
SAMN28767313_p6	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN42940244_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	40	28	High-quality
SAMN14087148_p1	1	Vibrio parahaemolyticus	0		1	1	1	Medium-quality
SAMN29790272_p5	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	131	52	Medium-quality
SAMN03799830_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	133	54	Medium-quality
SAMN45842239_p2	1	Vibrio cholerae	1	Vibrio cholerae	3	8	8	High-quality
SAMN29790273_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	54	31	Medium-quality
SAMN21365011_p4	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	9	167	55	Medium-quality
SAMN42940231_p5	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	68	42	Medium-quality
SAMN39716331_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	150	51	Medium-quality
SAMN52950332_p4	1	Vibrio cholerae	1	Vibrio cholerae	17	11	11	High-quality
SAMN32406564_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	27	14	High-quality
SAMN02603960_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	14	14	High-quality
SAMN47931951_p1	1	Vibrio navarrensis	1	Vibrio navarrensis	1	10	3	Medium-quality
SAMN28767274_p1	1	Vibrio navarrensis	1	Vibrio navarrensis	1	10	3	Medium-quality
SAMN07739070_p1	1	Vibrio navarrensis	1	Vibrio navarrensis	1	5	3	Medium-quality
SAMN28495007_p3	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	High-quality
SAMN39716322_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	4	2	High-quality
SAMN32411316_p3	1	Vibrio harveyi	1	Vibrio harveyi	2	4	2	High-quality
SAMN29790243_p5	1	Vibrio harveyi	1	Vibrio harveyi	3	8	2	Medium-quality
SAMN32405628_p1	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	High-quality
SAMN26982636_p1	1	Vibrio harveyi	1	Vibrio harveyi	4	2	2	High-quality
SAMN28767317_p4	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN28767305_p2	1	Vibrio harveyi	1	Vibrio harveyi	4	2	2	High-quality
SAMN47436124_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	3	2	Medium-quality
SAMN18298731_p3	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN15667309_p4	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN13500486_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN12648253_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN05302750_p4	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN17298282_p3	1	Vibrio vulnificus	1	Vibrio vulnificus	2	4	4	High-quality
SAMN05302748_p2	1	Vibrio harveyi	1	Vibrio harveyi	1	4	2	High-quality
SAMN39716334_p1	1	Vibrio harveyi	1	Vibrio harveyi	1	4	2	High-quality
SAMN12648299_p2	1	Vibrio navarrensis	1	Vibrio navarrensis	1	10	7	High-quality
SAMN30916808_p1	1	Vibrio vulnificus	0		1	1	1	High-quality
SAMN53840710_p3	1	Vibrio harveyi	1	Vibrio harveyi	1	2	2	High-quality
SAMN07338045_p2	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	Medium-quality
SAMN33278197_p2	1	Vibrio harveyi	1	Vibrio harveyi	2	2	2	Medium-quality
SAMN17384693_p2	1	Vibrio parahaemolyticus	0		3	2	1	Complete
SAMN32406741_p1	1	Vibrio parahaemolyticus	0		3	1	1	Complete
SAMN07337847_p1	1	Vibrio parahaemolyticus	0		1	1	1	High-quality
SAMN18298710_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	14	14	High-quality
SAMN54210353_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	14	14	High-quality
SAMN35346012_p2	1	Vibrio metoecus	0		1	1	1	High-quality
SAMN06066420_p2	1	Vibrio metoecus	0		3	1	1	Medium-quality
SAMN07337992_p1	1	Vibrio metoecus	0		1	1	1	High-quality
SAMN06158907_p1	1	Vibrio metoecus	0		1	1	1	High-quality
SAMN40232154_p1	1	Vibrio alginolyticus	1	Vibrio alginolyticus	2	2	2	Medium-quality
SAMN28767359_p1	1	Vibrio navarrensis	1	Vibrio navarrensis	4	5	3	High-quality
SAMN04320555_p2	1	Vibrio alginolyticus	1	Vibrio alginolyticus	2	2	2	Medium-quality
SAMN13023392_p2	1	Vibrio navarrensis	1	Vibrio navarrensis	1	8	4	High-quality
SAMN30916803_p2	1	Vibrio navarrensis	1	Vibrio navarrensis	1	6	4	Medium-quality
SAMN28767244_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	26	20	High-quality
SAMN40717405_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	15	15	Medium-quality
SAMN40566114_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	8	8	Complete
SAMN28767349_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	8	8	High-quality
SAMN10397789_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	5	7	4	Complete
SAMN29790272_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	2	2	Medium-quality
SAMN40604357_p1	1	Vibrio vulnificus	1	Vibrio vulnificus	3	3	3	Complete
SAMN41809272_p2	1	Vibrio vulnificus	1	Vibrio vulnificus	1	3	3	Medium-quality
SAMN12404565_p3	1	Vibrio alginolyticus	1	Vibrio alginolyticus	1	2	2	Medium-quality
SAMN15763361_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN14968934_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN14307063_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMEA4530654_p1	1	Vibrio cholerae	0		3	1	1	High-quality
SAMN31656038_p4	1	Vibrio cholerae	1	Vibrio cholerae	1	3	3	High-quality
SAMN29395242_p3	1	Vibrio cholerae	0		3	1	1	High-quality
SAMN28767235_p2	1	Vibrio cholerae	1	Vibrio cholerae	2	3	3	High-quality
SAMN28672590_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN24777697_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN13023392_p3	1	Vibrio harveyi	1	Vibrio harveyi	2	4	2	High-quality
SAMN24593218_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN02741367_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	464	24	9	Medium-quality
SAMN24593215_p2	1	Vibrio cholerae	0		1	1	1	Complete
SAMN24593214_p4	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN24593212_p4	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN44286666_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN43405764_p1	1	Vibrio cholerae	0		3	1	1	High-quality
SAMN28495037_p2	1	Vibrio cholerae	0		3	1	1	Medium-quality
SAMN41905141_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN41842413_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN40584254_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN40571795_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN39105913_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMD00046905_p2	1	Vibrio cholerae	0		4	1	1	High-quality
SAMN13500476_p2	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN12648305_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN10702681_p2	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN12648297_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN12648294_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN12648275_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN12648261_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN12648259_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN12434698_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN05935526_p1	1	Vibrio cholerae	0		5	1	1	High-quality
SAMN04349756_p1	1	Vibrio cholerae	1	Vibrio cholerae	2	3	3	High-quality
SAMN15763365_p1	1	Vibrio cholerae	0		1	1	1	Complete
SAMN05935531_p1	1	Vibrio cholerae	0		4	1	1	Medium-quality
SAMN09355280_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN24593211_p2	1	Vibrio cholerae	0		1	1	1	Complete
SAMN21355259_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN20805065_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN20805043_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN20805030_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN20804975_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN18238040_p3	1	Vibrio cholerae	0		1	1	1	High-quality
SAMEA115018432_p3	1	Vibrio cholerae	0		10	1	1	High-quality
SAMN02179882_p3	1	Vibrio cholerae	0		4	1	1	High-quality
SAMN10334306_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMEA3643325_p1	1	Vibrio cholerae	1	Vibrio cholerae	6	3	3	High-quality
SAMN16072611_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN12169088_p1	1	Vibrio cholerae	0		1	1	1	Complete
SAMN12057875_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	High-quality
SAMN10963736_p4	1	Vibrio cholerae	1	Vibrio cholerae	1	2	2	Medium-quality
SAMN09386766_p3	1	Vibrio vulnificus	0		1	2	1	Complete
SAMD00019138_p1	1	Vibrio vulnificus	0		1	2	1	Medium-quality
SAMN00265075_p1	1	Vibrio cholerae	0		5	1	1	Medium-quality
SAMN49797553_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN12648317_p3	1	Vibrio cholerae	1	Vibrio cholerae	7	4	4	Medium-quality
SAMN42500393_p2	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN38736038_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN36294848_p1	1	Vibrio cholerae	1	Vibrio cholerae	1	4	4	Medium-quality
SAMN07338013_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	9	6	Medium-quality
SAMN29790235_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	2	5	5	Medium-quality
SAMN07337898_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	5	5	Medium-quality
SAMN03945150_p3	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	5	5	Medium-quality
SAMN14214611_p3	1	Vibrio cholerae	1	Vibrio cholerae	18	3	3	Medium-quality
SAMN13878423_p2	1	Vibrio cholerae	1	Vibrio cholerae	3	2	2	High-quality
SAMN08982477_p2	1	Vibrio cholerae	1	Vibrio cholerae	4	6	6	Medium-quality
SAMN38476534_p1	1	Vibrio cholerae	1	Vibrio cholerae	3	2	2	High-quality
SAMN48586870_p2	1	Vibrio metoecus	1	Vibrio metoecus	1	2	2	High-quality
SAMN15206675_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	17	17	Medium-quality
SAMN39200978_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN35555508_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN35555507_p1	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN32407627_p1	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN15763356_p1	1	Vibrio fluvialis	1	Vibrio fluvialis	1	60	24	Complete
SAMN53317748_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN52852906_p3	1	Vibrio cholerae	0		3	1	1	Medium-quality
SAMN50800684_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN48586875_p2	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN48586872_p1	1	Vibrio cholerae	0		2	1	1	High-quality
SAMN48586871_p3	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN48586871_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMD00323053_p2	1	Vibrio cholerae	1	Vibrio cholerae	33	3	3	Medium-quality
SAMN45842236_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN48586876_p4	1	Vibrio cholerae	0		1	1	1	High-quality
SAMN33396490_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN13404287_p2	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN12057884_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN02435869_p2	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN02435867_p4	1	Vibrio cholerae	1	Vibrio cholerae	1	4	4	Medium-quality
SAMEA120785982_p1	1	Vibrio cholerae	0		1	1	1	Medium-quality
SAMN03996257_p1	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	3	3	Medium-quality
SAMN44286414_p2	1	Vibrio parahaemolyticus	1	Vibrio parahaemolyticus	1	2	2	High-quality
SAMN12057805_p2	1	Vibrio cholerae	1	Vibrio cholerae	13	3	3	Medium-quality
SAMN48586870_p1	1	Vibrio cholerae	0		1	1	1	High-quality
